KRAS mutation is present in a small subset of primary urinary bladder adenocarcinomas	 NaN	 https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2559.2012.04309.x	 RE Alexander, A Lopez‐Beltran, R Montironi… - …, 2012 - Wiley Online Library	 R Montironi	 26	 0	 10.1111/j.1365-2559.2012.04309.x	 Histopathology	 2012 Dec;61(6):1036-42.	 Riley E Alexander	 22804747
Gleason pattern 5 is frequently underdiagnosed on prostate needle-core biopsy	 NaN	 https://www.sciencedirect.com/science/article/pii/S0090429511023387	 TO Al-Hussain, MS Nagar, JI Epstein - Urology, 2012 - Elsevier	 JI Epstein	 26	 0	 10.1016/j.urology.2011.08.060	 Urology	 2012 Jan;79(1):178-81.	 Turki O Al-Hussain	 22035764
De-Differentiated Tubulocystic Carcinoma of the Kidney: A Series of 3 Cases with FISH Analysis	 Citation	 NaN	 T Al-Hussain, L Cheng, S Zhang… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 0	 NaN	 NaN	 NaN	 NaN	 NaN
Virtual Karyotype of Renal Carcinoid Tumors by SNP Microarrays	 Citation	 NaN	 RW Allan, JA Jeung, D Cao… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 D Cao	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Subcellular Localization of Gli-1 Correlates with Histologic Type, Grade and Stage of Renal Cell Carcinoma (RCC)	 Citation	 NaN	 RN Al-Rohil, KA Kim, J Garbaini… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 RN Al-Rohil	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Interrogation of ERG gene rearrangements in prostate cancer identifies a prognostic 10‐gene signature with relevant implication to patients' clinical outcome	 NaN	 https://bjui-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bju.12262	 TA Bismar, M Alshalalfa, LF Petersen… - BJU …, 2014 - Wiley Online Library	 TA Bismar	 31	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Relation of Primary Gleason Pattern 3 or 4 in Prostate Needle Biopsy to Pathological Stage and Progression after Radical Prostatectomy	 Citation	 NaN	 A Amin, JI Epstein - LABORATORY …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 A Amin	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 PMID: 21862072
Non-Invasive Micropapillary Urothelial Carcinoma: A Report of 18 Cases	 Citation	 NaN	 A Amin, JI Epstein - LABORATORY …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 JI Epstein	 NaN	 0	 NaN	 NaN	 NaN	 NaN	 PMID: 22939957
Microvessel density is not increased in prostate cancer: digital imaging of routine sections and tissue microarrays	 NaN	 https://www.sciencedirect.com/science/article/pii/S0046817712002286	 M Tretiakova, T Antic, D Binder, M Kocherginsky… - Human pathology, 2013 - Elsevier	 M Tretiakova	 61	 1	 10.1016/j.humpath.2012.06.009	 Hum Pathol	 2013 Apr;44(4):495-502.	 Maria Tretiakova	 23069258
Development of a TFEB break-apart fluorescence in situ hybridization (FISH) assay for diagnosis of the t (6; 11)(p21; q12) renal cell carcinomas harboring …	 Citation	 NaN	 P Argani, R Yonescu, GJ Netto… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 P Argani	 2	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Expression of a-Methylacyl-CoA Racemase (AMACR) in Urothelial Carcinoma In Situ (CIS): Comparative Utility with More Traditional Markers (CK20 …	 Citation	 NaN	 M Aron, DJ Luthringer… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Expression of novel markers human kidney injury molecule-1 (Hkim-1), S100A1 and napsin A in the differential diagnosis of renal cell carcinomas (RCC) …	 Citation	 NaN	 M Aron, M Amin, P Zhang… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 M Amin	 2	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Comparative Utility of Novel Nuclear Markers Steroidogenic Factor (SF-1) and Forkhead Box L2 (FOXL2) in the Diagnosis of Sex Cord Stromal Tumors …	 Citation	 NaN	 M Aron, AM Gown, BL Balzer… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 2	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Primary neuroendocrine tumors of the kidney: morphological and molecular alterations of an uncommon malignancy	 NaN	 https://www.sciencedirect.com/science/article/pii/S0046817712003140	 PP Aung, K Killian, CO Poropatich, WM Linehan… - Human Pathology, 2013 - Elsevier	 PP Aung	 44	 1	 PMC7561257	 Hum Pathol	 2013 May;44(5):873-80.	 Phyu P Aung	 23199527
SALL4 and SF-1 are sensitive and specific markers for distinguishing granulosa cell tumors from yolk sac tumors	 NaN	 https://journals.sagepub.com/doi/abs/10.1177/1066896912454567	 S Bai, S Wei, A Ziober, Y Yao… - International journal of …, 2013 - journals.sagepub.com	 NaN	 24	 0	 10.1177/1066896912454567	 Int J Surg Pathol	 2013 Apr;21(2):121-5.	 Shuting Bai	 22832114
Assessment of TMPRSS2: ERG (T: E) Gene Fusion in Prostatic Adenocarcinoma (CaP) by Fluorescence In Situ Hybridization (FISH) and …	 Citation	 NaN	 M Bastacky, M Gogniat… - MODERN …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Finding of Prostate Carcinoma at the Capsular End of a Prostate Needle Biopsy Does Not Predict Positive Capsular Margin on Radical Prostatectomy …	 Citation	 NaN	 P Bernaczyk, R Milewski… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 NaN	 NaN	 0	 NaN	 NaN	 NaN	 NaN	 NaN
Molecular Factors Showing Multivariate Significance for Outcome in a Conservatively Treated Prostate Cancer Biopsy Cohort	 Citation	 NaN	 D Berney, G Fisher, ZH Yang… - …, 2012 - … GROUP 75 VARICK ST, 9TH FLR …	 D Berney	 NaN	 1	 NaN	 NaN	 NaN	 NaN	 NaN
Value of Reflex ImmunoCyt Testing for the Diagnosis of Bladder Cancer	 Pdf	 https://escholarship.org/content/qt5wn609m3/qt5wn609m3.pdf	 AB Berry, AY Odisho, AE Ahmad, MR Cooperberg… - 2012 - escholarship.org	 AY Odisho	 NaN	 0	 PMC3443544	 Eur Urol	 2013 May;63(5):936-40.	 Anobel Y Odisho	 22521093
